timestamp_ms,bid,ask,last,bid_size,ask_size,volume
1704292200000,184.69,184.71,184.7,300,100,0
1704292260000,185.1,185.13,185.115,300,100,0
1704292320000,185.16,185.27,185.215,300,100,0
1704292380000,183.17,185.37,184.26999999999998,100,100,0
1704292440000,183.17,185.64,184.40499999999997,100,100,0
1704292500000,185.8,185.86,185.83,100,200,0
1704292560000,183.17,185.51,184.33999999999997,100,100,0
1704292620000,185.35,185.38,185.365,200,100,0
1704292680000,185.12,185.17,185.14499999999998,100,100,0
1704292740000,183.63,185.04,184.33499999999998,100,100,0
1704292800000,184.91,184.94,184.925,100,200,0
1704292860000,184.81,184.86,184.835,100,100,0
1704292920000,184.9,184.92,184.91,100,300,0
1704292980000,184.94,184.97,184.95499999999998,100,300,0
1704293040000,184.81,184.83,184.82,300,100,0
1704293100000,184.94,184.98,184.95999999999998,100,200,0
1704293160000,184.9,184.92,184.91,200,100,0
1704293220000,185.02,185.04,185.03,100,200,0
1704293280000,185.05,185.2,185.125,100,100,0
1704293340000,183.63,185.18,184.405,100,200,0
1704293400000,185.14,185.17,185.15499999999997,100,200,0
1704293460000,185.33,185.35,185.34,300,100,0
1704293520000,185.22,185.26,185.24,200,100,0
1704293580000,185.06,185.09,185.075,100,100,0
1704293640000,185.03,185.06,185.04500000000002,100,100,0
1704293700000,183.63,185.0,184.315,100,400,0
1704293760000,183.63,184.84,184.235,100,200,0
1704293820000,183.63,184.83,184.23000000000002,100,100,0
1704293880000,184.6,184.64,184.62,100,200,0
1704293940000,184.75,184.81,184.78,300,300,0
1704294000000,183.63,185.0,184.315,100,100,0
1704294060000,183.63,184.67,184.14999999999998,100,100,0
1704294120000,184.92,184.94,184.93,100,200,0
1704294180000,184.88,184.91,184.89499999999998,100,100,0
1704294240000,184.8,184.82,184.81,100,100,0
1704294300000,183.76,184.64,184.2,100,200,0
1704294360000,184.54,184.57,184.555,100,100,0
1704294420000,184.43,184.47,184.45,100,100,0
1704294480000,183.76,184.47,184.115,100,400,0
1704294540000,184.34,184.38,184.36,100,200,0
1704294600000,184.2,184.22,184.20999999999998,100,100,0
1704294660000,184.19,184.21,184.2,400,100,0
1704294720000,183.76,184.05,183.905,100,200,0
1704294780000,184.0,184.04,184.01999999999998,200,100,0
1704294840000,183.93,183.98,183.95499999999998,100,400,0
1704294900000,183.76,184.03,183.89499999999998,100,200,0
1704294960000,183.76,184.03,183.89499999999998,100,100,0
1704295020000,183.95,183.98,183.96499999999997,100,200,0
1704295080000,183.95,183.97,183.95999999999998,300,100,0
1704295140000,183.9,183.92,183.91,100,200,0
1704295200000,183.73,183.9,183.815,100,800,0
1704295260000,183.69,183.76,183.725,100,100,0
1704295320000,183.79,183.81,183.8,100,100,0
1704295380000,183.79,183.81,183.8,200,100,0
1704295440000,183.74,183.76,183.75,400,300,0
1704295500000,183.69,183.71,183.7,300,300,0
1704295560000,183.83,183.84,183.835,100,100,0
1704295620000,183.84,183.86,183.85000000000002,300,100,0
1704295680000,183.92,183.96,183.94,100,100,0
1704295740000,183.95,183.96,183.95499999999998,200,100,0
