timestamp_ms,last,bid,ask,bid_size,ask_size,volume,bar_volume
1704292201008,184.71,184.29,184.32,200,200,9332,9332
1704292201010,184.71,184.29,184.31,200,100,9332,0
1704292201015,184.71,184.28,184.32,100,200,9332,0
1704292201023,184.71,184.28,184.3,100,100,9332,0
1704292201027,184.71,184.28,184.31,100,200,9332,0
1704292201032,184.71,184.28,184.3,100,100,9332,0
1704292201038,184.71,184.28,184.3,100,200,9332,0
1704292201063,184.71,99.76,184.31,100,200,9332,0
1704292201064,184.71,99.76,184.31,100,200,9332,0
1704292201162,184.71,99.76,184.25,100,100,9332,0
1704292201163,184.71,99.76,184.25,100,300,9332,0
1704292201164,184.71,99.76,184.25,100,100,9332,0
1704292201168,184.71,99.76,184.24,100,100,9332,0
1704292201169,184.71,99.76,184.21,100,200,9332,0
1704292201173,184.71,99.76,184.2,100,200,9332,0
1704292201174,184.71,99.76,184.21,100,200,9332,0
1704292201178,184.71,99.76,184.2,100,200,9332,0
1704292201224,184.71,99.76,184.3,100,100,9332,0
1704292201230,184.71,99.76,184.31,100,100,9332,0
1704292201232,184.71,99.76,184.3,100,100,9332,0
1704292201234,184.71,99.76,184.29,100,100,9332,0
1704292201299,184.71,99.76,184.35,100,100,9332,0
1704292201304,184.71,99.76,184.34,100,100,9332,0
1704292201346,184.71,99.76,184.34,100,100,9332,0
1704292201402,184.71,99.76,184.31,100,200,9332,0
1704292201408,184.71,99.76,184.31,100,200,9332,0
1704292201411,184.71,99.76,184.29,100,100,9332,0
1704292201415,184.71,99.76,184.29,100,100,9332,0
1704292201416,184.71,184.2,184.29,200,200,9332,0
1704292201420,184.71,184.2,184.29,200,200,9332,0
1704292201472,184.71,99.76,184.26,100,100,9332,0
1704292201478,184.71,99.76,184.28,100,200,9332,0
1704292201507,184.71,99.76,184.28,100,200,9332,0
1704292201545,184.71,99.76,184.3,100,100,9332,0
1704292201550,184.71,99.76,184.32,100,200,9332,0
1704292201583,184.71,99.76,184.3,100,200,9332,0
1704292201588,184.71,99.76,184.29,100,200,9332,0
1704292201598,184.71,99.76,184.29,100,200,9332,0
1704292201608,184.71,99.76,184.3,100,100,9332,0
1704292201613,184.71,99.76,184.3,100,200,9332,0
1704292201624,184.71,99.76,184.3,100,200,9332,0
1704292201659,184.71,99.76,184.3,100,200,9332,0
1704292201664,184.71,99.76,184.31,100,100,9332,0
1704292201704,184.71,99.76,184.28,100,100,9332,0
1704292201712,184.71,99.76,184.3,100,100,9332,0
1704292201717,184.71,99.76,184.3,100,300,9332,0
1704292201738,184.71,99.76,184.3,100,600,9332,0
1704292201740,184.71,99.76,184.3,100,300,9332,0
1704292201791,184.71,99.76,184.3,100,200,9332,0
1704292201796,184.71,99.76,184.3,100,200,9332,0
1704292201798,184.71,99.76,184.31,100,200,9332,0
1704292201799,184.71,99.76,184.31,100,100,9332,0
1704292201812,184.71,99.76,184.3,100,100,9332,0
1704292201825,184.71,99.76,184.28,100,100,9332,0
1704292201828,184.71,99.76,184.28,100,100,9332,0
1704292201874,184.71,99.76,184.27,100,100,9332,0
1704292201881,184.71,99.76,184.27,100,100,9332,0
1704292201882,184.71,99.76,184.28,100,100,9332,0
1704292201886,184.71,99.76,184.3,100,200,9332,0
1704292201900,184.71,99.76,184.3,100,200,9332,0
1704292201906,184.71,99.76,184.3,100,200,9332,0
1704292201907,184.71,99.76,184.3,100,200,9332,0
1704292201911,184.71,99.76,184.29,100,100,9332,0
1704292201916,184.71,99.76,184.23,100,200,9332,0
1704292201922,184.71,99.76,184.22,100,200,9332,0
1704292201925,184.71,99.76,184.22,100,200,9332,0
1704292201927,184.71,99.76,184.21,100,200,9332,0
1704292201952,184.71,99.76,184.21,100,200,9332,0
1704292201962,184.71,99.76,184.21,100,100,9332,0
1704292201967,184.71,99.76,184.21,100,100,9332,0
1704292201992,184.71,136.44,184.21,200,100,9332,0
1704292201993,184.71,136.44,199.0,200,100,9332,0
1704292201994,184.71,136.44,184.21,200,200,9332,0
1704292201995,184.71,136.44,199.0,200,100,9332,0
1704292201999,184.71,136.44,184.3,200,200,9332,0
1704292202022,184.71,136.44,184.3,200,200,9332,0
1704292202023,184.71,136.44,184.3,200,200,9332,0
1704292202024,184.71,136.44,184.3,200,200,9332,0
1704292202026,184.71,136.44,184.3,200,200,9332,0
1704292202061,184.71,136.44,184.3,200,200,9332,0
1704292202096,184.71,136.44,184.25,200,200,9332,0
1704292202101,184.71,136.44,184.25,200,200,9332,0
1704292202102,184.71,136.44,184.25,200,200,9332,0
1704292202109,184.71,136.44,184.25,200,200,9332,0
1704292202114,184.71,136.44,184.25,200,200,9332,0
1704292202115,184.71,136.44,184.3,200,200,9332,0
1704292202120,184.71,136.44,184.25,200,200,9332,0
1704292202125,184.71,136.44,184.25,200,200,9332,0
1704292202127,184.71,136.44,184.25,200,200,9332,0
1704292202130,184.71,136.44,184.25,200,200,9332,0
1704292202133,184.71,136.44,184.3,200,200,9332,0
1704292202138,184.71,136.44,184.3,200,200,9332,0
1704292202141,184.71,136.44,184.22,200,200,9332,0
1704292202142,184.71,136.44,184.3,200,200,9332,0
1704292202146,184.71,136.44,184.22,200,200,9332,0
1704292202148,184.71,136.44,184.3,200,200,9332,0
1704292202152,184.71,136.44,184.3,200,200,9332,0
1704292202153,184.71,136.44,184.3,200,200,9332,0
1704292202155,184.71,136.44,184.21,200,200,9332,0
1704292202160,184.71,136.44,184.2,200,100,9332,0
1704292202166,184.71,136.44,184.2,200,100,9332,0
1704292202167,184.71,136.44,184.3,200,200,9332,0
1704292202170,184.71,136.44,184.3,200,200,9332,0
